1292961950	20160309	201603	2016	2016.1890	CVL	NEIGHBORHOOD						CVL			USA	AMERICAN	USA								1	012	012	01	1	-0.4	3	1	3	-1.36830102622577	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20260307120000	https://www.whyisrael.org/jns-org/dancing-under-fluorescent-lights-defiance-and-joy-during-wartime/
1292961951	20250307	202503	2025	2025.1836	AFR	AFRICA	AFR								SEP	LIBERATION MOVEMENT						SEP			0	046	046	04	1	7.0	10	1	10	6.07142857142857	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20260307120000	https://dailynews.co.tz/liberation-parties-vow-to-strengthen-regional-economies/
1292961952	20250307	202503	2025	2025.1836	SEP	LIBERATION MOVEMENT						SEP			AFR	AFRICA	AFR								0	010	010	01	1	0.0	10	1	10	6.07142857142857	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20260307120000	https://dailynews.co.tz/liberation-parties-vow-to-strengthen-regional-economies/
1292961953	20250307	202503	2025	2025.1836	SEP	LIBERATION MOVEMENT						SEP			AFR	AFRICA	AFR								0	046	046	04	1	7.0	10	1	10	6.07142857142857	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20260307120000	https://dailynews.co.tz/liberation-parties-vow-to-strengthen-regional-economies/
1292961954	20260205	202602	2026	2026.0959	USA	KANSAS	USA								LEG	CHAMBER						LEG			0	010	010	01	1	0.0	2	1	2	1.05633802816901	2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	20260307120000	https://hayspost.com/posts/9bf4a32d-3cde-4ee2-ae36-fc15dae46916
1292961955	20260228	202602	2026	2026.1589	BHR	BAHRAIN	BHR								MIL	MILITARY						MIL			0	194	194	19	4	-10.0	8	1	8	-3.31281149223102	1	Bahrain	BA	BA		26	50.5	BA	4	Majdal, HaDarom, Israel	IS	IS01	18315	31.6693	34.5715	-779275	4	Majdal, HaDarom, Israel	IS	IS01	18315	31.6693	34.5715	-779275	20260307120000	https://www.newsweek.com/iran-war-live-president-trump-demand-unconditional-surrender-11638304
1292961956	20260228	202602	2026	2026.1589	BHR	BAHRAIN	BHR								MIL	MILITARY						MIL			0	194	194	19	4	-10.0	2	1	2	-3.31281149223102	2	New York, United States	US	USNY		42.1497	-74.9384	NY	1	Bahrain	BA	BA		26	50.5	BA	1	Bahrain	BA	BA		26	50.5	BA	20260307120000	https://www.newsweek.com/iran-war-live-president-trump-demand-unconditional-surrender-11638304
1292961957	20260228	202602	2026	2026.1589	MIL	DESTROYER						MIL			CYP	CYPRUS	CYP								0	154	154	15	4	-7.2	8	1	8	-2.46734397677794	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	1	Cyprus	CY	CY		35	33	CY	4	Akrotiri, Perifereia Notiou Aigaiou, Greece	GR	GR61	16709	36.3584	25.3959	-813565	20260307120000	https://www.theguardian.com/world/2026/mar/07/us-bomber-lands-in-uk-after-warning-of-surge-in-strikes-on-iran
1292961958	20260228	202602	2026	2026.1589	MIL	DESTROYER						MIL			CYP	CYPRUS	CYP								0	154	154	15	4	-7.2	2	1	2	-2.46734397677794	1	Cyprus	CY	CY		35	33	CY	5	Gloucestershire, Gloucestershire, United Kingdom	UK	UKE6	40113	51.8333	-2.16667	-2597217	4	Akrotiri, Perifereia Notiou Aigaiou, Greece	GR	GR61	16709	36.3584	25.3959	-813565	20260307120000	https://www.theguardian.com/world/2026/mar/07/us-bomber-lands-in-uk-after-warning-of-surge-in-strikes-on-iran
1292961959	20260307	202603	2026	2026.1836											AFRSEP	AFRICA	AFR					SEP			1	042	042	04	1	1.9	2	1	2	6.07142857142857	0								4	Kibaha, Pwani, Tanzania	TZ	TZ02	115098	-6.76667	38.9167	-2564445	4	Kibaha, Pwani, Tanzania	TZ	TZ02	115098	-6.76667	38.9167	-2564445	20260307120000	https://dailynews.co.tz/liberation-parties-vow-to-strengthen-regional-economies/
1292961960	20260307	202603	2026	2026.1836											BHR	BAHRAIN	BHR								0	043	043	04	1	2.8	1	1	1	-3.81799163179916	0								4	Jibchit, Nabatî, Lebanon	LE	LE07	18805	33.3642	35.4322	-805024	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20260307120000	https://www.durangoherald.com/articles/the-latest-israel-hammers-beirut-and-tehran-as-iranian-president-apologizes-to-gulf-neighbors/
1292961961	20260307	202603	2026	2026.1836											CAN	CANADA	CAN								1	043	043	04	1	2.8	2	1	2	3.20512820512821	0								4	Saskatoon, Saskatchewan, Canada	CA	CA11	154724	52.1333	-106.667	-573213	4	Saskatoon, Saskatchewan, Canada	CA	CA11	154724	52.1333	-106.667	-573213	20260307120000	https://www.guelphmercury.com/things-to-do/music/guelph-music-top-country/article_3786a0c9-57cd-5ec5-8003-9526c8f9047c.html
1292961962	20260307	202603	2026	2026.1836											CANGOVBUS	MARK CARNEY	CAN					GOV	BUS		0	020	020	02	1	3.0	10	1	10	0.20855057351408	0								4	Quebec, Quebec, Canada	CA	CA10	12750	47.5	-72	-571850	4	Quebec, Quebec, Canada	CA	CA10	12750	47.5	-72	-571850	20260307120000	https://medicinehatnews.com/news/local-news/2026/03/07/health-experts-say-dual-practice-will-backfire-smith-says-theyre-wrong/
1292961963	20260307	202603	2026	2026.1836											COP	POLICE						COP			1	020	020	02	1	3.0	5	1	5	-2.49169435215947	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20260307120000	https://www.freepressjournal.in/mumbai/mumbai-local-woman-passenger-unleashes-fury-on-tc-after-failing-to-show-ticket-on-defunct-uts-app-at-virar-railway-station-watch
1292961964	20260307	202603	2026	2026.1836											COP	POLICE						COP			0	173	173	17	4	-5.0	10	1	10	-10.8247422680412	0								2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	20260307120000	https://www.wthr.com/article/news/crime/1-critically-injured-1-detained-after-shooting-in-downtown-indianapolis-east-washington-street/531-efef1e7f-a626-4d18-9fe3-02bf70f9f632
1292961965	20260307	202603	2026	2026.1836											CVL	COMMUNITY						CVL			1	014	014	01	1	0.0	6	1	6	-0.78616352201258	0								5	Auckland, Auckland, New Zealand	NZ	NZE7	22379	-36.75	174.583	11483124	5	Auckland, Auckland, New Zealand	NZ	NZE7	22379	-36.75	174.583	11483124	20260307120000	https://livenews.co.nz/2026/03/07/otara-papatoetoe-local-board-candidate-chris-latham-wants-postal-voting-scrapped/
1292961966	20260307	202603	2026	2026.1836											CVL	VILLAGE						CVL			1	042	042	04	1	1.9	10	1	10	5.80645161290323	0								4	Konkan, Maharashtra, India	IN	IN16	17777	18.0833	73.4167	-2101383	4	Konkan, Maharashtra, India	IN	IN16	17777	18.0833	73.4167	-2101383	20260307120000	https://www.freepressjournal.in/lifestyle/velas-turtle-festival-is-back-best-time-to-visit-watch-the-olive-ridley-turtles-hatching
1292961967	20260307	202603	2026	2026.1836											CVL	VILLAGE						CVL			0	043	043	04	1	2.8	10	1	10	1.60295930949445	0								4	Lyari, Sindh, Pakistan	PK	PK05	40401	26.4602	68.2523	-2767448	4	Lyari, Sindh, Pakistan	PK	PK05	40401	26.4602	68.2523	-2767448	20260307120000	https://www.mensxp.com/entertainment/bollywood/182501-ranveer-singh-dhurandhar-2-trailer-ari-ari-song-history-and-hidden-meaning.html
1292961968	20260307	202603	2026	2026.1836											EDU	SCHOOL						EDU			1	042	042	04	1	1.9	5	1	5	-1.36830102622577	0								1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20260307120000	https://www.whyisrael.org/jns-org/dancing-under-fluorescent-lights-defiance-and-joy-during-wartime/
1292961969	20260307	202603	2026	2026.1836											EDU	SCHOOL						EDU			0	046	046	04	1	7.0	10	1	10	0.46109510086456	0								3	Urbana, Ohio, United States	US	USOH	OH021	40.1084	-83.7524	1065415	3	Urbana, Ohio, United States	US	USOH	OH021	40.1084	-83.7524	1065415	20260307120000	https://www.springfieldnewssun.com/news/urbana-neighbors-cedar-bog-advocates-push-back-against-data-center/CB6J5G4YLBFL3C6AQS3K2YCDEM/
1292961970	20260307	202603	2026	2026.1836											GBR	UNITED KINGDOM	GBR								1	042	042	04	1	1.9	6	1	6	1.90930787589499	0								4	Traquair, Scottish Borders, The, United Kingdom	UK	UKT9	40167	55.6	-3.06667	-2610098	4	Traquair, Scottish Borders, The, United Kingdom	UK	UKT9	40167	55.6	-3.06667	-2610098	20260307120000	https://www.peeblesshirenews.com/news/25910385.river-tweed-features-bbcs-jules-gregs-wild-swim/
1292961971	20260307	202603	2026	2026.1836											GBR	UNITED KINGDOM	GBR								0	100	100	10	3	-5.0	10	1	10	-0.467289719626161	0								1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20260307120000	https://www.atvtoday.co.uk/280270-reform/
