1294670008	20250317	202503	2025	2025.2110	BEL	BELGIAN	BEL																		1	017	017	01	1	0.0	5	1	5	2.89256198347107	4	Messancy, Waals Gewest, Belgium	BE	BE14	16295	49.592	5.81879	-1965159	0								4	Messancy, Waals Gewest, Belgium	BE	BE14	16295	49.592	5.81879	-1965159	20260317120000	https://www.retaildetail.eu/news/home/25-revenue-growth-for-vanden-borre-kitchen/
1294670009	20250317	202503	2025	2025.2110	IRN	IRAN	IRN								ISRLEG	ISRAEL	ISR					LEG			0	010	010	01	1	0.0	1	1	1	-0.66539923954373	4	Kumu, Fars, Iran	IR	IR07	41050	29.5352	54.3241	11180421	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20260317120000	https://ejewishphilanthropy.com/jfn-teams-up-with-genesis-prize-to-double-gal-gadots-initiative-to-support-groups-healing-israel/
1294670010	20250317	202503	2025	2025.2110	IRN	IRAN	IRN								ISRLEG	ISRAEL	ISR					LEG			0	010	010	01	1	0.0	1	1	1	-0.66539923954373	4	Kumu, Fars, Iran	IR	IR07	41050	29.5352	54.3241	11180421	4	Kumu, Fars, Iran	IR	IR07	41050	29.5352	54.3241	11180421	4	Kumu, Fars, Iran	IR	IR07	41050	29.5352	54.3241	11180421	20260317120000	https://ejewishphilanthropy.com/jfn-teams-up-with-genesis-prize-to-double-gal-gadots-initiative-to-support-groups-healing-israel/
1294670011	20250317	202503	2025	2025.2110	USA	UNITED STATES	USA								MIL	MILITARY						MIL			0	1123	112	11	3	-2.0	1	1	1	-1.03329506314581	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20260317120000	https://grenadachronicle.com/blood-tech-the-uk-ambassador-the-sex-offender-palantir-and-gaza/
1294670012	20260215	202602	2026	2026.1233											MED	MEDIA						MED			1	040	040	04	1	1.0	10	1	10	6.27306273062731	0								4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	20260317120000	https://www.philstar.com/entertainment/2026/03/17/2514989/janine-gutierrez-remembers-pilita-corrales-sexiest-woman-alive-title
1294670013	20260215	202602	2026	2026.1233											USA	UNITED STATES	USA								0	084	084	08	2	7.0	2	1	2	-5.7542768273717	0								3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	2	California, United States	US	USCA		36.17	-119.746	CA	20260317120000	https://www.thedailybeast.com/gavin-newsom-strikes-back-after-donald-trump-79-makes-embarrassing-flub/
1294670014	20260215	202602	2026	2026.1233	IND	NEW DELHI	IND								RUSCOP	RUSSIA	RUS					COP			1	043	043	04	1	2.8	2	1	2	-0.77720207253886	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20260317120000	https://ianslive.in/india-and-russia-discuss-unsc-reforms-counter-terrorism-and-peacekeeping--20260317163720
1294670015	20260215	202602	2026	2026.1233	IRN	IRAN	IRN								USA	AMERICAN	USA								1	020	020	02	1	3.0	3	1	3	-2.58620689655172	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20260317120000	https://edition.cnn.com/2026/03/17/politics/ground-troops-us-iran-trump
1294670016	20260215	202602	2026	2026.1233	MED	MEDIA						MED													1	040	040	04	1	1.0	10	1	10	6.27306273062731	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	0								4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	20260317120000	https://www.philstar.com/entertainment/2026/03/17/2514989/janine-gutierrez-remembers-pilita-corrales-sexiest-woman-alive-title
1294670017	20260215	202602	2026	2026.1233	RUS	RUSSIA	RUS								IND	NEW DELHI	IND								1	040	040	04	1	1.0	2	1	2	-0.77720207253886	1	Russia	RS	RS		60	100	RS	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20260317120000	https://ianslive.in/india-and-russia-discuss-unsc-reforms-counter-terrorism-and-peacekeeping--20260317163720
1294670018	20260215	202602	2026	2026.1233	RUS	RUSSIA	RUS								IND	NEW DELHI	IND								1	040	040	04	1	1.0	1	1	1	-0.77720207253886	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20260317120000	https://ianslive.in/india-and-russia-discuss-unsc-reforms-counter-terrorism-and-peacekeeping--20260317163720
1294670019	20260215	202602	2026	2026.1233	RUS	RUSSIA	RUS								RUSCOP	RUSSIA	RUS					COP			1	046	046	04	1	7.0	3	1	3	-0.77720207253886	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20260317120000	https://ianslive.in/india-and-russia-discuss-unsc-reforms-counter-terrorism-and-peacekeeping--20260317163720
1294670020	20260215	202602	2026	2026.1233	RUSCOP	RUSSIA	RUS					COP			GOVCOP	FOREIGN MINIST						GOV	COP		1	040	040	04	1	1.0	4	1	4	-0.77720207253886	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20260317120000	https://ianslive.in/india-and-russia-discuss-unsc-reforms-counter-terrorism-and-peacekeeping--20260317163720
1294670021	20260215	202602	2026	2026.1233	RUSCOP	RUSSIA	RUS					COP			IND	NEW DELHI	IND								1	040	040	04	1	1.0	2	1	2	-0.77720207253886	1	Russia	RS	RS		60	100	RS	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20260317120000	https://ianslive.in/india-and-russia-discuss-unsc-reforms-counter-terrorism-and-peacekeeping--20260317163720
1294670022	20260215	202602	2026	2026.1233	RUSCOP	RUSSIA	RUS					COP			IND	NEW DELHI	IND								1	042	042	04	1	1.9	2	1	2	-0.77720207253886	1	Russia	RS	RS		60	100	RS	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	1	Russia	RS	RS		60	100	RS	20260317120000	https://ianslive.in/india-and-russia-discuss-unsc-reforms-counter-terrorism-and-peacekeeping--20260317163720
1294670023	20260215	202602	2026	2026.1233	RUSCOP	RUSSIA	RUS					COP			RUS	RUSSIA	RUS								1	046	046	04	1	7.0	3	1	3	-0.77720207253886	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20260317120000	https://ianslive.in/india-and-russia-discuss-unsc-reforms-counter-terrorism-and-peacekeeping--20260317163720
