1292320817	20250304	202503	2025	2025.1753											EDU	STUDENT						EDU			1	043	043	04	1	2.8	10	1	10	-4.84581497797357	0								3	North Providence, Rhode Island, United States	US	USRI		41.8501	-71.4662	1219348	3	North Providence, Rhode Island, United States	US	USRI		41.8501	-71.4662	1219348	20260304120000	https://www.valleybreeze.com/news/north-providence-school-attendance-rate-continues-to-improve/article_749797da-3930-47d3-9c1c-bea1afbaceac.html
1292320818	20250304	202503	2025	2025.1753	AUS	AUSTRALIA	AUS								CAN	CANADA	CAN								1	057	057	05	1	8.0	1	1	1	1.32013201320132	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20260304120000	https://www.brandonsun.com/national/2026/03/04/we-can-set-the-agenda-carney-continues-middle-power-pitch-in-australia
1292320819	20250304	202503	2025	2025.1753	AUS	AUSTRALIAN	AUS								CAN	OTTAWA	CAN								1	057	057	05	1	8.0	1	1	1	1.32013201320132	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	1	United States	US	US		39.828175	-98.5795	US	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20260304120000	https://www.brandonsun.com/national/2026/03/04/we-can-set-the-agenda-carney-continues-middle-power-pitch-in-australia
1292320820	20250304	202503	2025	2025.1753	CAN	CANADA	CAN								AUS	AUSTRALIA	AUS								1	057	057	05	1	8.0	1	1	1	1.32013201320132	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20260304120000	https://www.brandonsun.com/national/2026/03/04/we-can-set-the-agenda-carney-continues-middle-power-pitch-in-australia
1292320821	20250304	202503	2025	2025.1753	CAN	OTTAWA	CAN								AUS	AUSTRALIAN	AUS								1	057	057	05	1	8.0	1	1	1	1.32013201320132	1	United States	US	US		39.828175	-98.5795	US	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20260304120000	https://www.brandonsun.com/national/2026/03/04/we-can-set-the-agenda-carney-continues-middle-power-pitch-in-australia
1292320822	20250304	202503	2025	2025.1753	COP	POLICE						COP			USA	UNITED STATES	USA								0	193	193	19	4	-10.0	1	1	1	-3.75510204081632	3	San Bernardino County, California, United States	US	USCA	CA071	34.6667	-116.168	277300	2	Idaho, United States	US	USID		44.2394	-114.51	ID	3	Apple Valley, Idaho, United States	US	USID		43.8399	-116.997	396046	20260304120000	https://hanfordsentinel.com/news/national/when-slowing-down-can-save-a-life-training-la-law-enforcement-to-understand-autism/article_4e1cb7f2-292d-5837-a9e8-bf4eb5865ab6.html
1292320823	20250304	202503	2025	2025.1753	COP	POLICE						COP			USA	IDAHO	USA								0	193	193	19	4	-10.0	2	1	2	-3.75510204081632	3	Pocatello, Idaho, United States	US	USID	ID005	42.8713	-112.446	397053	2	Idaho, United States	US	USID		44.2394	-114.51	ID	2	Idaho, United States	US	USID		44.2394	-114.51	ID	20260304120000	https://hanfordsentinel.com/news/national/when-slowing-down-can-save-a-life-training-la-law-enforcement-to-understand-autism/article_4e1cb7f2-292d-5837-a9e8-bf4eb5865ab6.html
1292320824	20250304	202503	2025	2025.1753	EDU	STUDENT						EDU													1	042	042	04	1	1.9	10	1	10	-4.84581497797357	3	North Providence, Rhode Island, United States	US	USRI	RI007	41.8501	-71.4662	1219348	0								3	North Providence, Rhode Island, United States	US	USRI		41.8501	-71.4662	1219348	20260304120000	https://www.valleybreeze.com/news/north-providence-school-attendance-rate-continues-to-improve/article_749797da-3930-47d3-9c1c-bea1afbaceac.html
1292320825	20250304	202503	2025	2025.1753	GOV	PRESIDENT						GOV													1	084	084	08	2	7.0	3	1	3	-0.5249343832021	1	Iran	IR	IR		32	53	IR	0								1	Iran	IR	IR		32	53	IR	20260304120000	https://www.yahoo.com/news/articles/marjorie-taylor-greene-chilling-wake-101131071.html
1292320826	20250304	202503	2025	2025.1753	GOV	PRESIDENT						GOV			IRN	IRAN	IRN								1	084	084	08	2	7.0	2	1	2	-0.5249343832021	1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	20260304120000	https://www.yahoo.com/news/articles/marjorie-taylor-greene-chilling-wake-101131071.html
