1292672366	20250306	202503	2025	2025.1808	ECU	ECUADOR	ECU								USA	UNITED STATES	USA								0	043	043	04	1	2.8	2	1	2	-3.23033707865168	3	Mount Rushmore, South Dakota, United States	US	USSD	SD103	43.8803	-103.459	1267035	3	Mount Rushmore, South Dakota, United States	US	USSD		43.8803	-103.459	1267035	3	Mount Rushmore, South Dakota, United States	US	USSD		43.8803	-103.459	1267035	20260306000000	https://www.aljazeera.com/news/2026/3/5/trump-says-he-will-replace-homeland-security-chief-kristi-noem
1292672367	20250306	202503	2025	2025.1808	ECU	ECUADOR	ECU								USA	UNITED STATES	USA								0	043	043	04	1	2.8	2	1	2	-3.23033707865168	1	Ecuador	EC	EC		-2	-77.5	EC	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	20260306000000	https://www.aljazeera.com/news/2026/3/5/trump-says-he-will-replace-homeland-security-chief-kristi-noem
1292672368	20250306	202503	2025	2025.1808	GOV	DICTATOR						GOV			SLV	SALVADORAN	SLV								0	111	111	11	3	-2.0	14	2	14	-8.67850098619326	1	El Salvador	ES	ES		13.833333	-88.916667	ES	1	El Salvador	ES	ES		13.833333	-88.916667	ES	1	El Salvador	ES	ES		13.833333	-88.916667	ES	20260306000000	https://www.hometownregister.com/news/national/el-salvadors-bukele-holding-dozens-of-political-prisoners-rights-group/article_37706d08-ae2d-5014-9758-9892238b72aa.html
1292672369	20250306	202503	2025	2025.1808	JUD	SUPREME COURT						JUD													1	190	190	19	4	-10.0	4	1	4	-3.90243902439025	2	Oregon, United States	US	USOR		44.5672	-122.127	OR	0								2	Oregon, United States	US	USOR		44.5672	-122.127	OR	20260306000000	https://www.aljazeera.com/economy/2026/3/5/us-states-sue-to-stop-trumps-latest-global-tariffs
1292672370	20250306	202503	2025	2025.1808	NZL	NEW ZEALAND	NZL								GOV	GOVERNMENT						GOV			1	020	020	02	1	3.0	10	1	10	0	5	Chatham Islands, Chatham Islands, New Zealand	NZ	NZ10	22391	-44	-176.5	-1508253	5	Chatham Islands, Chatham Islands, New Zealand	NZ	NZ10	22391	-44	-176.5	-1508253	5	Chatham Islands, Chatham Islands, New Zealand	NZ	NZ10	22391	-44	-176.5	-1508253	20260306000000	https://www.scoop.co.nz/stories/AK2603/S00125/will-taxpayer-funded-chatham-islands-ship-fly-nz-flag-and-employ-kiwi-crew.htm
1292672371	20250306	202503	2025	2025.1808	USA	UNITED STATES	USA								ECU	ECUADOR	ECU								0	042	042	04	1	1.9	2	1	2	-3.23033707865168	3	Mount Rushmore, South Dakota, United States	US	USSD	SD103	43.8803	-103.459	1267035	3	Mount Rushmore, South Dakota, United States	US	USSD		43.8803	-103.459	1267035	3	Mount Rushmore, South Dakota, United States	US	USSD		43.8803	-103.459	1267035	20260306000000	https://www.aljazeera.com/news/2026/3/5/trump-says-he-will-replace-homeland-security-chief-kristi-noem
1292672372	20250306	202503	2025	2025.1808	USA	UNITED STATES	USA								ECU	ECUADOR	ECU								0	042	042	04	1	1.9	2	1	2	-3.23033707865168	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	1	Ecuador	EC	EC		-2	-77.5	EC	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	20260306000000	https://www.aljazeera.com/news/2026/3/5/trump-says-he-will-replace-homeland-security-chief-kristi-noem
1292672373	20250306	202503	2025	2025.1808	USA	VIRGINIA	USA								GOVMIL	DEPARTMENT OF DEFENSE						GOV	MIL		1	071	071	07	2	7.4	2	1	2	-4.11764705882353	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20260306000000	https://www.yourfortdodge.com/syndicated-article/?id=1660502
1292672374	20260204	202602	2026	2026.0932											PSE	PALESTINIAN	PSE								0	043	043	04	1	2.8	2	1	2	-4.02298850574713	0								1	West Bank	WE	WE		31.666667	35.25	WE	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20260306000000	https://www.aljazeera.com/news/2026/3/5/israel-cancels-friday-prayers-at-al-aqsa-mosque-amid-iran-conflict
1292672375	20260204	202602	2026	2026.0932											USA	UNITED STATES	USA								0	100	100	10	3	-5.0	2	1	2	-1.19047619047619	0								3	Capitol Hill, District of Columbia, United States	US	USDC		38.889	-77.0003	529313	3	Capitol Hill, District of Columbia, United States	US	USDC		38.889	-77.0003	529313	20260306000000	https://ktul.com/news/nation-world/the-heat-is-on-commerce-secretary-lutnick-over-epstein-familys-tariff-refund-wagers
