1295636479	20250323	202503	2025	2025.2274	BEL	BELGIUM	BEL																		0	030	030	03	1	4.0	4	1	4	-0.95057034220533	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	0								4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	20260323120000	https://www.express.co.uk/news/politics/2185392/keir-starmer-brexit-betrayal-eu
1295636480	20250323	202503	2025	2025.2274	CAN	CANADA	CAN																		1	016	016	01	1	-2.0	2	1	2	-2.19298245614035	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	0								4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20260323120000	https://www.cbc.ca/news/canada/windsor/what-we-re-tracking-on-march-23-9.7138266
1295636481	20250323	202503	2025	2025.2274	GBR	BRITISH	GBR								BRB	BARBADOS	BRB								0	090	090	09	2	-2.0	4	1	4	-0.93085106382978	4	Gatwick, Surrey, United Kingdom	UK	UKN7	40133	51.1667	-0.183333	-2596850	1	Barbados	BB	BB		13.166667	-59.533333	BB	1	Barbados	BB	BB		13.166667	-59.533333	BB	20260323120000	https://www.dailymail.co.uk/travel/article-15671017/Iran-war-Caribbean-holidays-search-UK-tourists.html
1295636482	20250323	202503	2025	2025.2274	GBRBUS	BRITISH	GBR					BUS			BRB	BARBADOS	BRB								0	090	090	09	2	-2.0	6	1	6	-0.93085106382978	4	Gatwick, Surrey, United Kingdom	UK	UKN7	40133	51.1667	-0.183333	-2596850	1	Barbados	BB	BB		13.166667	-59.533333	BB	1	Barbados	BB	BB		13.166667	-59.533333	BB	20260323120000	https://www.dailymail.co.uk/travel/article-15671017/Iran-war-Caribbean-holidays-search-UK-tourists.html
1295636483	20260221	202602	2026	2026.1397	ISR	ISRAEL	ISR								GOV	FINANCE MINIST						GOV			0	057	057	05	1	8.0	2	1	2	-7.5050709939148	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20260323120000	https://www.aljazeera.com/news/2026/3/23/israeli-settlers-rampage-through-west-bank-towns-for-second-night-in-a-row
1295636484	20260221	202602	2026	2026.1397	ISR	ISRAEL	ISR								ISRGOV	ISRAEL	ISR					GOV			0	057	057	05	1	8.0	2	1	2	-7.5050709939148	4	Jordan Valley, Israel (general), Israel	IS	IS00	18314	32.6667	35.5	-2542918	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20260323120000	https://www.aljazeera.com/news/2026/3/23/israeli-settlers-rampage-through-west-bank-towns-for-second-night-in-a-row
1295636485	20260221	202602	2026	2026.1397	USA	UNITED STATES	USA								LEG	SENATE						LEG			0	040	040	04	1	1.0	1	1	1	-2.81150159744409	2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20260323120000	https://www.westhawaiitoday.com/2026/03/23/nation-world-news/the-supreme-court-could-make-it-harder-to-vote-by-mail-in-the-midterms/
1295636486	20260221	202602	2026	2026.1397	USA	UNITED STATES	USA								LEG	SENATE						LEG			0	040	040	04	1	1.0	4	1	4	-2.81150159744409	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20260323120000	https://www.westhawaiitoday.com/2026/03/23/nation-world-news/the-supreme-court-could-make-it-harder-to-vote-by-mail-in-the-midterms/
1295636487	20260316	202603	2026	2026.2082											TONCOP	TONGA	TON					COP			1	173	173	17	4	-5.0	6	1	6	-11.5183246073298	0								4	Vaini, Tongatapu, Tonga	TN	TN02	27407	-21.2	-175.2	-2778471	4	Vaini, Tongatapu, Tonga	TN	TN02	27407	-21.2	-175.2	-2778471	20260323120000	https://matangitonga.to/2026/03/23/four-arrested-after-anana-shooting-incident
1295636488	20260316	202603	2026	2026.2082	AGR	FARMER						AGR													1	012	012	01	1	-0.4	4	1	4	-6.48464163822526	4	Misgav Am, Ha?afon, Israel	IS	IS03	18314	33.2474	35.5489	-780737	0								4	Misgav Am, Ha?afon, Israel	IS	IS03	18314	33.2474	35.5489	-780737	20260323120000	https://english.aawsat.com/arab-world/5254293-first-israeli-civilian-killed-lebanon-border-war-was-hit-israeli-fire
