1295814544	20250324	202503	2025	2025.2301											SAU	SAUDI ARABIA	SAU								0	057	057	05	1	8.0	2	1	2	-1.18343195266273	0								4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20260324120000	https://dailythepatriot.com/pakistan-ready-to-mediate-us-iran-talks-amid-rising-tensions-fo/
1295814545	20250324	202503	2025	2025.2301	ISR	ISRAELI	ISR								PSE	GAZA	PSE								0	015	015	01	1	0.0	1	1	1	-5.48961424332344	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Beirut, Beyrouth, Lebanon	LE	LE04	18808	33.8719	35.5097	-801546	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20260324120000	https://www.cbsnews.com/live-updates/iran-war-trump-tehran-denies-talks-israel-oil-prices-stocks-react/
1295814546	20250324	202503	2025	2025.2301	SAU	SAUDI ARABIA	SAU																		0	057	057	05	1	8.0	2	1	2	-1.18343195266273	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	0								4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20260324120000	https://dailythepatriot.com/pakistan-ready-to-mediate-us-iran-talks-amid-rising-tensions-fo/
1295814547	20250324	202503	2025	2025.2301	SWE	SWEDEN	SWE								DNK	DENMARK	DNK								1	020	020	02	1	3.0	1	1	1	-3.7593984962406	1	Denmark	DA	DA		56	10	DA	1	Denmark	DA	DA		56	10	DA	1	Denmark	DA	DA		56	10	DA	20260324120000	https://shipandbunker.com/news/world/141973-bruton-orders-four-scrubber-fitted-vlccs-from-china
1295814548	20250324	202503	2025	2025.2301	SWE	SWEDEN	SWE								DNK	DENMARK	DNK								1	020	020	02	1	3.0	4	1	4	-3.7593984962406	1	Sweden	SW	SW		62	15	SW	1	Denmark	DA	DA		56	10	DA	1	Denmark	DA	DA		56	10	DA	20260324120000	https://shipandbunker.com/news/world/141973-bruton-orders-four-scrubber-fitted-vlccs-from-china
1295814549	20250324	202503	2025	2025.2301	SWE	SWEDEN	SWE								FIN	FINLAND	FIN								1	020	020	02	1	3.0	1	1	1	-3.7593984962406	1	Denmark	DA	DA		56	10	DA	1	Sweden	SW	SW		62	15	SW	1	Denmark	DA	DA		56	10	DA	20260324120000	https://shipandbunker.com/news/world/141973-bruton-orders-four-scrubber-fitted-vlccs-from-china
1295814550	20250324	202503	2025	2025.2301	SWE	SWEDEN	SWE								FIN	FINLAND	FIN								1	020	020	02	1	3.0	4	1	4	-3.7593984962406	1	Sweden	SW	SW		62	15	SW	1	Finland	FI	FI		64	26	FI	1	Denmark	DA	DA		56	10	DA	20260324120000	https://shipandbunker.com/news/world/141973-bruton-orders-four-scrubber-fitted-vlccs-from-china
1295814551	20260222	202602	2026	2026.1425											AUS	AUSTRALIA	AUS								1	100	100	10	3	-5.0	2	1	2	0.85106382978723	0								4	Dungog, New South Wales, Australia	AS	AS02	5096	-32.4003	151.758	-1570971	4	Dungog, New South Wales, Australia	AS	AS02	5096	-32.4003	151.758	-1570971	20260324120000	https://www.dungogchronicle.com.au/story/9206508/jerry-schwartz-commits-to-three-year-newcastle-post-office-finish/
1295814552	20260222	202602	2026	2026.1425	COP	PRISON						COP			JUD	FEDERAL COURT						JUD			0	173	173	17	4	-5.0	10	1	10	-6.43274853801173	3	Detroit, Michigan, United States	US	USMI	MI163	42.3314	-83.0458	1617959	3	Detroit, Michigan, United States	US	USMI	MI163	42.3314	-83.0458	1617959	3	Detroit, Michigan, United States	US	USMI	MI163	42.3314	-83.0458	1617959	20260324120000	https://www.yahoo.com/news/articles/detroit-woman-pleads-guilty-wire-113130690.html
1295814553	20260222	202602	2026	2026.1425	IRN	IRANIAN	IRN								USA	UNITED STATES	USA								0	060	060	06	2	6.0	1	1	1	-3.06513409961686	4	Mohammad Reza, Sistan va Baluchestan, Iran	IR	IR04	41090	27.2942	61.3981	-3075547	4	Mohammad Reza, Sistan va Baluchestan, Iran	IR	IR04	41090	27.2942	61.3981	-3075547	4	Mohammad Reza, Sistan va Baluchestan, Iran	IR	IR04	41090	27.2942	61.3981	-3075547	20260324120000	https://www.westhawaiitoday.com/2026/03/24/nation-world-news/trump-faces-blowback-on-easing-iran-oil-sanctions/
