1291707578	20250301	202503	2025	2025.1671	BUS	COMPANY						BUS													1	030	030	03	1	4.0	10	1	10	0.32894736842105	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20260301120000	https://www.businessinsider.com/lexisnexis-exec-says-investors-ai-fears-are-misguided-2026-3
1291707579	20260130	202601	2026	2026.0822	JORGOV	JORDAN	JOR					GOV			FRA	LYON	FRA								0	111	111	11	3	-2.0	2	1	2	-6.69515669515669	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20260301120000	https://theweek.com/politics/quentin-deranque-death-violence-french-politics
1291707580	20260130	202601	2026	2026.0822	JORGOV	JORDAN	JOR					GOV			FRA	LYON	FRA								0	111	111	11	3	-2.0	8	1	8	-6.69515669515669	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	20260301120000	https://theweek.com/politics/quentin-deranque-death-violence-french-politics
1291707581	20260130	202601	2026	2026.0822	USA	UNITED STATES	USA																		0	010	010	01	1	0.0	2	1	2	-3.29920364050057	3	Lonoke County, Arkansas, United States	US	USAR	AR085	34.7668	-91.8835	69164	0								2	Arkansas, United States	US	USAR		34.9513	-92.3809	AR	20260301120000	https://www.cnn.com/2026/03/01/us/arkansas-sheriff-candidate-aaron-spencer-murder
1291707582	20260222	202602	2026	2026.1425	FRA	PARIS	FRA																		0	194	194	19	4	-10.0	3	1	3	-6.69515669515669	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	0								4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20260301120000	https://theweek.com/politics/quentin-deranque-death-violence-french-politics
1291707583	20260222	202602	2026	2026.1425	JOR	AMMAN	JOR																		0	160	160	16	4	-4.0	2	1	2	-7.24637681159421	1	Bahrain	BA	BA		26	50.5	BA	0								4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	20260301120000	https://www.dhakatribune.com/world/middle-east/404430/middle-east-airports-shut-thousands-stranded
1291707584	20260222	202602	2026	2026.1425	JOR	AMMAN	JOR																		0	160	160	16	4	-4.0	8	1	8	-7.24637681159421	1	Bahrain	BA	BA		26	50.5	BA	0								1	Bahrain	BA	BA		26	50.5	BA	20260301120000	https://www.dhakatribune.com/world/middle-east/404430/middle-east-airports-shut-thousands-stranded
1291707585	20260222	202602	2026	2026.1425	SIKOPP	SIKH				SIK		OPP			COP	POLICE						COP			0	111	111	11	3	-2.0	4	1	4	-1.43171806167401	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20260301120000	https://www.theguardian.com/world/2026/mar/01/canada-india-trade-meetings
1291707586	20260222	202602	2026	2026.1425	SIKOPP	SIKH				SIK		OPP			COP	POLICE						COP			0	111	111	11	3	-2.0	1	1	1	-1.43171806167401	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20260301120000	https://www.theguardian.com/world/2026/mar/01/canada-india-trade-meetings
1291707587	20260222	202602	2026	2026.1425	SIKOPP	SIKH				SIK		OPP			COP	POLICE						COP			0	130	130	13	3	-4.4	5	1	5	-1.43171806167401	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20260301120000	https://www.theguardian.com/world/2026/mar/01/canada-india-trade-meetings
