1295574373	20250323	202503	2025	2025.2274	CVL	TENANTS						CVL													1	111	111	11	3	-2.0	10	1	10	1.953125	4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	0								4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	20260323000000	https://www.manchestereveningnews.co.uk/news/greater-manchester-news/huge-victoria-north-project-named-33639024
1295574374	20250323	202503	2025	2025.2274	CVL	TENANTS						CVL													1	192	192	19	4	-9.5	10	1	10	1.953125	4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	0								4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	20260323000000	https://www.manchestereveningnews.co.uk/news/greater-manchester-news/huge-victoria-north-project-named-33639024
1295574375	20250323	202503	2025	2025.2274	GOV	PRESIDENT						GOV			USAGOV	THE WHITE HOUSE	USA					GOV			0	057	057	05	1	8.0	1	1	1	0.24691358024691	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20260323000000	https://www.yahoo.com/news/articles/sf-protesters-call-ai-pause-232209665.html
1295574376	20250323	202503	2025	2025.2274	GOV	PRESIDENT						GOV			USAGOV	THE WHITE HOUSE	USA					GOV			0	057	057	05	1	8.0	1	1	1	0.24691358024691	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20260323000000	https://www.yahoo.com/news/articles/sf-protesters-call-ai-pause-232209665.html
1295574377	20250323	202503	2025	2025.2274	USA	UNITED STATES	USA																		1	013	013	01	1	0.4	4	1	4	-1.39303482587065	3	Tehachapi, California, United States	US	USCA	CA029	35.1322	-118.449	1652798	0								3	Tehachapi, California, United States	US	USCA	CA029	35.1322	-118.449	1652798	20260323000000	https://www.tehachapinews.com/news/tccwd-faces-new-challenge-as-prospects-for-the-next-year-of-water-dim/article_77ee970b-424a-4c0c-8536-18b4f1f1a16a.html
1295574378	20250323	202503	2025	2025.2274	USA	UNITED STATES	USA																		1	013	013	01	1	0.4	1	1	1	-1.39303482587065	3	Tehachapi, California, United States	US	USCA	CA029	35.1322	-118.449	1652798	0								2	California, United States	US	USCA		36.17	-119.746	CA	20260323000000	https://www.tehachapinews.com/news/tccwd-faces-new-challenge-as-prospects-for-the-next-year-of-water-dim/article_77ee970b-424a-4c0c-8536-18b4f1f1a16a.html
1295574379	20250323	202503	2025	2025.2274	USA	UNITED STATES	USA																		1	013	013	01	1	0.4	1	1	1	-1.39303482587065	2	California, United States	US	USCA		36.17	-119.746	CA	0								2	California, United States	US	USCA		36.17	-119.746	CA	20260323000000	https://www.tehachapinews.com/news/tccwd-faces-new-challenge-as-prospects-for-the-next-year-of-water-dim/article_77ee970b-424a-4c0c-8536-18b4f1f1a16a.html
1295574380	20250323	202503	2025	2025.2274	USA	ARKANSAS	USA																		1	173	173	17	4	-5.0	1	1	1	-9.0032154340836	2	Arkansas, United States	US	USAR		34.9513	-92.3809	AR	0								2	Arkansas, United States	US	USAR		34.9513	-92.3809	AR	20260323000000	https://www.5newsonline.com/article/news/crime/six-charged-manslaughter-neglect-death-arkansas-dhs-facility/527-c9eca8d4-d70c-4469-99d1-c2aefc0849d8
1295574381	20250323	202503	2025	2025.2274	USA	UNITED STATES	USA																		1	192	192	19	4	-9.5	3	1	3	-1.39303482587065	3	San Luis Reservoir, California, United States	US	USCA	CA047	37.0573	-121.121	232446	0								3	San Joaquin Valley, California, United States	US	USCA		37.9833	-121.868	1655000	20260323000000	https://www.tehachapinews.com/news/tccwd-faces-new-challenge-as-prospects-for-the-next-year-of-water-dim/article_77ee970b-424a-4c0c-8536-18b4f1f1a16a.html
1295574382	20250323	202503	2025	2025.2274	USA	UNITED STATES	USA																		1	192	192	19	4	-9.5	3	1	3	-1.39303482587065	3	San Luis Reservoir, California, United States	US	USCA	CA047	37.0573	-121.121	232446	0								3	San Luis Reservoir, California, United States	US	USCA		37.0573	-121.121	232446	20260323000000	https://www.tehachapinews.com/news/tccwd-faces-new-challenge-as-prospects-for-the-next-year-of-water-dim/article_77ee970b-424a-4c0c-8536-18b4f1f1a16a.html
1295574383	20250323	202503	2025	2025.2274	USAGOV	THE WHITE HOUSE	USA					GOV			GOV	PRESIDENT						GOV			0	057	057	05	1	8.0	1	1	1	0.24691358024691	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20260323000000	https://www.yahoo.com/news/articles/sf-protesters-call-ai-pause-232209665.html
1295574384	20250323	202503	2025	2025.2274	USAGOV	THE WHITE HOUSE	USA					GOV			GOV	PRESIDENT						GOV			0	057	057	05	1	8.0	1	1	1	0.24691358024691	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20260323000000	https://www.yahoo.com/news/articles/sf-protesters-call-ai-pause-232209665.html
1295574385	20260316	202603	2026	2026.2082											USA	UNITED STATES	USA								0	020	020	02	1	3.0	4	1	4	-5.85585585585586	0								3	Christian High School, Michigan, United States	US	USMI		42.2748	-85.6147	623247	3	Christian High School, Michigan, United States	US	USMI		42.2748	-85.6147	623247	20260323000000	https://local12.com/news/nation-world/sentencing-man-plead-no-contest-drunk-driving-crash-killed-8-month-old-lucia-seifried-matthew-rebecca-kenneth-allegan-county-court-western-michigan
1295574386	20260316	202603	2026	2026.2082											USA	UNITED STATES	USA								0	042	042	04	1	1.9	4	1	4	-5.85585585585586	0								3	Christian High School, Michigan, United States	US	USMI		42.2748	-85.6147	623247	3	Christian High School, Michigan, United States	US	USMI		42.2748	-85.6147	623247	20260323000000	https://local12.com/news/nation-world/sentencing-man-plead-no-contest-drunk-driving-crash-killed-8-month-old-lucia-seifried-matthew-rebecca-kenneth-allegan-county-court-western-michigan
